id_node;id_station;name;id_entrance;side;side2;step1;step2;step3;step4;step5;step6;step7;step8;step9;step10;step11;step12;step13;step14;step15;step16;comments
1;212;Пятницкое шоссе;18840;Z;* Митино;19;5;10;12;19;13;;;;;;;;;;;
1;212;Пятницкое шоссе;18850;Z;* Митино;19;5;10;8;19;13;;;;;;;;;;;
1;212;Пятницкое шоссе;18860;Z;* Митино;19;5;11;12;19;13;;;;;;;;;;;
1;212;Пятницкое шоссе;18861;Z;* Митино;19;5;11;12;19;13;;;;;;;;;;;
1;212;Пятницкое шоссе;18871;A;# Митино;1;5;7;6;13;;;;;;;;;;;;
2;213;Митино;17440;A;* Пятницкое шоссе;19;5;10;7;15;3;13;;;;;;;;;;
2;213;Митино;17441;A;* Пятницкое шоссе;19;5;10;7;9;3;13;;;;;;;;;;
2;213;Митино;17450;A;* Пятницкое шоссе;19;5;11;7;19;13;;;;;;;;;;;
2;213;Митино;17460;Z;# Пятницкое шоссе;3;5;11;7;3;13;;;;;;;;;;;
2;213;Митино;17461;Z;# Пятницкое шоссе;3;5;11;8;3;13;;;;;;;;;;;
2;213;Митино;17470;A;* Пятницкое шоссе;19;5;11;8;3;13;;;;;;;;;;;
2;213;Митино;17480;Z;# Пятницкое шоссе;3;5;10;8;3;13;;;;;;;;;;;
2;213;Митино;17490;A;* Пятницкое шоссе;19;5;11;12;19;13;;;;;;;;;;;
2;213;Митино;17500;A;* Пятницкое шоссе;19;5;10;12;19;13;;;;;;;;;;;
2;213;Митино;17501;A;* Пятницкое шоссе;19;5;10;12;19;13;;;;;;;;;;;
3;214;Волоколамская;15801;A;* Митино;1;7;5;6;13;;;;;;;;;;;;
3;214;Волоколамская;15810;Z;# Митино;1;8;5;6;13;;;;;;;;;;;;
4;215;Мякинино;17530;Z;# Волоколамская;3;5;10;4;13;;;;;;;;;;;;
4;215;Мякинино;17531;Z;# Волоколамская;3;5;18;4;8;4;13;;;;;;;;;;
4;215;Мякинино;17532;A;* Волоколамская;3;5;3;6;9;6;13;;;;;;;;;;
5;211;Строгино;19260;A;* Мякинино;1;5;10;8;3;6;13;;;;;;;;;;
5;211;Строгино;19261;A;* Мякинино;1;5;10;7;3;6;13;;;;;;;;;;
5;211;Строгино;19270;A;* Мякинино;1;5;11;7;3;6;13;;;;;;;;;;
