id_entrance;name;id_station;direction;lon;lat;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;closed
14800;К трамваям в центр;82;in;37.7162886;55.7516306;740;43;15;0;0;280;680;15;
14801;К трамваям в центр;82;out;37.7162886;55.7516306;740;43;10;0;0;320;680;27;
14810;К трамваям в область;82;in;37.7163578;55.7515293;740;41;41;0;0;0;0;0;
14811;К трамваям в область;82;out;37.7163578;55.7515293;740;41;36;0;0;320;910;27;
14820;Западная сторона Авиамоторной улицы;82;in;37.7167891091;55.7519587988;740;49;49;0;0;0;0;0;
14821;Западная сторона Авиамоторной улицы;82;out;37.7167891091;55.7519587988;740;49;44;0;0;320;910;27;
14830;Южная сторона шоссе Энтузиастов;82;in;37.7165431;55.7512042;740;41;15;0;0;280;680;15;
14831;Южная сторона шоссе Энтузиастов;82;out;37.7165431;55.7512042;740;41;10;0;0;320;680;27;
14840;На север, к рынку;82;in;37.717153178;55.7522830788;740;50;50;0;0;0;0;0;
14841;На север, к рынку;82;out;37.717153178;55.7522830788;740;50;45;0;0;320;910;27;
14850;Путепровод;82;in;37.7175590253;55.7519110521;740;50;50;0;0;0;0;0;
14851;Путепровод;82;out;37.7175590253;55.7519110521;740;50;45;0;0;320;910;27;
14860;Авиамоторная улица на юг, восточная сторона;82;in;37.7178209;55.7509103;740;41;15;0;0;280;680;15;
14861;Авиамоторная улица на юг, восточная сторона;82;out;37.7178209;55.7509103;740;41;10;0;0;320;680;27;
14870;К платформе Новая;82;in;37.7179455;55.7510902;740;42;15;0;0;280;680;15;
14871;К платформе Новая;82;out;37.7179455;55.7510902;740;42;10;0;0;320;680;27;
14880;Авиамоторная улица на юг, западная сторона;82;in;37.7175337;55.7508406;740;44;44;0;0;0;0;0;
14881;Авиамоторная улица на юг, западная сторона;82;out;37.7175337;55.7508406;740;44;39;0;0;320;910;27;
14890;В сторону области;29;both;37.6571586945;55.7063848977;720;1;1;0;0;0;0;0;
14900;В сторону центра, из стеклянных дверей налево. К торговым центрам.;29;both;37.65732061;55.70865724;720;36;5;0;0;330;820;20;
14910;В сторону центра, из стеклянных дверей направо. К Автозаводской улице.;29;both;37.6582850423;55.7084058706;720;35;3;0;0;310;800;20;
