id_station;id_line;id_node;name;name_en;lon;lat
1;1;126;Улица Подбельского;Ulitsa Podbelskogo;37.7344292345;55.8145927602
2;1;127;Черкизовская;Cherkizovskaya;37.7447700657;55.803964167
3;1;128;Преображенская площадь;Preobrajenskaya ploschad;37.7152173748;55.7962871634
4;1;129;Сокольники;Sokolniki;37.6801366412;55.7889149911
5;1;130;Красносельская;Krasnoselskaya;37.665466405;55.7791206714
6;1;91;Комсомольская;Komsomolskaya;37.6547149057;55.7749874689
7;1;131;Красные ворота;Krasnye Vorota;37.6484282308;55.7689124352
8;1;74;Чистые пруды;Chistye Prudy;37.6390864174;55.7658735773
9;1;132;Лубянка;Lubyanka;37.6274353535;55.7597424672
10;1;14;Охотный ряд;Okhotny Ryad;37.6161756998;55.7577075346
11;1;13;Библиотека им. Ленина;Biblioteka imeni Lenina;37.6099705862;55.751114968
12;1;133;Кропоткинская;Kropotkinskaya;37.6032283589;55.7449984885
13;1;93;Парк культуры;Park Kultury;37.5943751137;55.7355839147
14;1;134;Фрунзенская;Frunzenskaya;37.5794820302;55.7268469183
15;1;135;Спортивная;Sportivnaya;37.5638086945;55.7232869698
16;1;136;Воробьёвы горы;Vorobyovy Gory;37.5594605009;55.7104347833
17;1;137;Университет;Universitet;37.5340639929;55.6921515346
18;1;138;Проспект Вернадского;Prospekt Vernadskogo;37.5064183073;55.6767169449
19;1;139;Юго-Западная;Yugo-Zapadnaya;37.4832340675;55.663595341
41;2;38;Речной вокзал;Rechnoy Vokzal;37.4763312043;55.8548335702
40;2;39;Водный стадион;Vodny Stadion;37.4867599219;55.8399842878
39;2;40;Войковская;Voykovskaya;37.4978435187;55.8192452949
38;2;41;Сокол;Sokol;37.5148268259;55.8050762842
37;2;42;Аэропорт;Aeroport;37.5324148011;55.8002290124
36;2;43;Динамо;Dinamo;37.5581607194;55.7897102558
35;2;44;Белорусская;Belorusskaya;37.5838880213;55.7766719254
34;2;45;Маяковская;Mayakovskaya;37.595785151;55.7701163251
33;2;46;Тверская;Tverskaya;37.60521346;55.7656713784
32;2;14;Театральная;Teatralnaya;37.6192510604;55.7577349378
31;2;47;Новокузнецкая;Novokuznetskaya;37.6294890195;55.7414124352
30;2;48;Павелецкая;Paveletskaya;37.6374127052;55.7304228988
29;2;49;Автозаводская;Avtozavodskaya;37.6577329272;55.7071202167
28;2;50;Коломенская;Kolomenskaya;37.6638596394;55.6783104583
226;2;51;Каширская;Kashirskaya;37.6488595862;55.6550861243
24;2;52;Кантемировская;Kantemirovskaya;37.6565514085;55.6358055968
23;2;53;Царицыно;Tsaritsino;37.6691611279;55.6218392487
22;2;54;Орехово;Orekhovo;37.6947826785;55.6132321634
21;2;55;Домодедовская;Domodedovskaya;37.7193285684;55.6109504423
20;2;56;Красногвардейская;Krasnogvardeyskaya;37.7441054813;55.613767643
225;2;57;Алма-Атинская;Alma-Atinskaya;37.7662734618;55.6327740853
212;3;1;Пятницкое шоссе;Pyatnitskoye Shosse;37.3546269201;55.8565309095
213;3;2;Митино;Mitino;37.3622376057;55.8458613499
214;3;3;Волоколамская;Volokolamskaya;37.3819127353;55.8356538153
215;3;4;Мякинино;Myakinino;37.3852653623;55.8250862309
211;3;5;Строгино;Strogino;37.4031342416;55.803646286
66;3;6;Крылатское;Krilatskoye;37.4082360249;55.7568157602
65;3;7;Молодежная;Molodyojnaya;37.4169057993;55.7408251705
210;3;8;Кунцевская;Kuntsevskaya;37.4460326519;55.7306764103
216;3;9;Славянский бульвар;Slavyansky Bulvar;37.470735238;55.7295810693
165;3;10;Парк Победы;Park Pobedy;37.5184795258;55.736095341
42;3;11;Киевская;Kievskaya;37.5663114388;55.7437735151
43;3;12;Смоленская;Smolenskaya;37.5824294281;55.7473238899
44;3;13;Арбатская;Arbatskaya;37.606817611;55.7521241314
45;3;14;Площадь Революции;Ploschad Revolyutsii;37.6219625098;55.756663032
46;3;15;Курская;Kurskaya;37.6580747868;55.7581372629
47;3;16;Бауманская;Baumanskaya;37.6801945933;55.7729716998
48;3;17;Электрозаводская;Elektrozavodskaya;37.7038682025;55.7820457833
49;3;18;Семеновская;Semyonovskaya;37.7207696305;55.7830638295
50;3;19;Партизанская;Partizanskaya;37.7507304831;55.7884944512
51;3;20;Измайловская;Izmaylovskaya;37.7815926199;55.7877153641
52;3;21;Первомайская;Pervomayskaya;37.7994714032;55.7946632256
53;3;22;Щелковская;Schyolkovskaya;37.7986560195;55.8093187282
64;4;8;Кунцевская;Kuntsevskaya;37.4460326519;55.7306764103
63;4;23;Пионерская;Pionerskaya;37.4671906288;55.7359270071
62;4;24;Филевский парк;Filyovsky Park;37.4834122735;55.7394557442
61;4;25;Багратионовская;Bagrationovskaya;37.4978415613;55.7436913055
60;4;26;Фили;Fili;37.5148795151;55.7460933837
59;4;27;Кутузовская;Kutuzovskaya;37.5343883215;55.7400234885
58;4;28;Студенческая;Studencheskaya;37.5483711687;55.7388341936
57;4;11;Киевская;Kievskaya;37.5663114388;55.7437735151
56;4;29;Смоленская;Smolenskaya;37.5826321758;55.7487715044
55;4;30;Арбатская;Arbatskaya;37.6007488011;55.7518285151
54;4;13;Александровский сад;Aleksandrovsky Sad;37.6088290551;55.7524412789
189;4;31;Международная;Mejdunarodnaya;37.5343801084;55.7483124156
188;4;32;Выставочная;Vistavochnaya;37.5410683944;55.7498793766
70;5;91;Комсомольская;Komsomolskaya;37.6565078578;55.77542592
71;5;15;Курская;Kurskaya;37.6591161083;55.757252531
72;5;64;Таганская;Taganskaya;37.6507604403;55.7415710888
73;5;48;Павелецкая;Paveletskaya;37.6376789077;55.7317656555
74;5;92;Добрынинская;Dobryninskaya;37.6221263126;55.728708968
75;5;76;Октябрьская;Oktyabrskaya;37.6118220817;55.7300570995
76;5;93;Парк культуры;Park Kultury;37.5943751137;55.7355839147
77;5;11;Киевская;Kievskaya;37.5663114388;55.7437735151
78;5;94;Краснопресненская;Krasnopresnenskaya;37.5772655311;55.7608548473
67;5;44;Белорусская;Belorusskaya;37.5838880213;55.7766719254
68;5;90;Новослободская;Novoslobodskaya;37.6020713055;55.7795130853
69;5;72;Проспект Мира;Prospekt Mira;37.6332012504;55.7797489307
86;6;65;Медведково;Medvedkovo;37.661441849;55.8871397904
87;6;66;Бабушкинская;Babushkinskaya;37.6642463055;55.8696045044
88;6;67;Свиблово;Sviblobo;37.6526703446;55.855125325
89;6;68;Ботанический сад;Botanichesky Sad;37.6383545844;55.8452975204
90;6;69;ВДНХ;V.D.N.Ha;37.6412101812;55.8211007477
91;6;70;Алексеевская;Alekseevskaya;37.6387147407;55.8086000959
92;6;71;Рижская;Rijskaya;37.6363288881;55.7933261812
93;6;72;Проспект Мира;Prospekt Mira;37.6324275773;55.781075714
94;6;73;Сухаревская;Sukharevskaya;37.632024412;55.772797627
95;6;74;Тургеневская;Turgenevskaya;37.6374383108;55.7660771439
96;6;75;Китай-город;Kitay-Gorod;37.6331615915;55.7554992362
97;6;47;Третьяковская;Tretyakovskaya;37.6270595915;55.7408878064
98;6;76;Октябрьская;Oktyabrskaya;37.6118220817;55.7300570995
